L0	L1	L2	L3	L4	L5
W17.54	W17.5	W17	W00-W19	V01-Y98	*
W01.43	W01.4	W01	W00-W19	V01-Y98	*
X05.13	X05.1	X05	X00-X09	V01-Y98	*
H68.1	H68.1	H68	H65-H75	H60-H95	*
D10.9	D10.9	D10	D10-D36	C00-D48	*
X93.61	X93.6	X93	X85-Y09	V01-Y98	*
X17.09	X17.0	X17	X10-X19	V01-Y98	*
V41.4	V41.4	V41	V40-V49	V01-Y98	*
O32.5	O32.5	O32	O30-O48	O00-O99	*
K60.4	K60.4	K60	K55-K63	K00-K93	*
V34.52	V34.5	V34	V30-V39	V01-Y98	*
W10.69	W10.6	W10	W00-W19	V01-Y98	*
W70.94	W70.9	W70	W65-W74	V01-Y98	*
N64.2	N64.2	N64	N60-N64	N00-N99	*
V76.11	V76.1	V76	V70-V79	V01-Y98	*
E70.9	E70.9	E70	E70-E90	E00-E90	*
X45	X45	X45	X40-X49	V01-Y98	*
B50.0	B50.0	B50	B50-B64	A00-B99	*
X93.44	X93.4	X93	X85-Y09	V01-Y98	*
V45.78	V45.7	V45	V40-V49	V01-Y98	*
W13.00	W13.0	W13	W00-W19	V01-Y98	*
V45.49	V45.4	V45	V40-V49	V01-Y98	*
Y17.49	Y17.4	Y17	Y10-Y34	V01-Y98	*
W70.00	W70.0	W70	W65-W74	V01-Y98	*
X48.04	X48.0	X48	X40-X49	V01-Y98	*
V47.59	V47.5	V47	V40-V49	V01-Y98	*
W22.03	W22.0	W22	W20-W49	V01-Y98	*
X87.9	X87.9	X87	X85-Y09	V01-Y98	*
S65.4	S65.4	S65	S60-S69	S00-T98	*
W55.49	W55.4	W55	W50-W64	V01-Y98	*
X15.91	X15.9	X15	X10-X19	V01-Y98	*
N50.9	N50.9	N50	N40-N51	N00-N99	*
X52.61	X52.6	X52	X50-X57	V01-Y98	*
W35.41	W35.4	W35	W20-W49	V01-Y98	*
X40-X49	X40-X49	X40-X49	X40-X49	V01-Y98	*
E27.5	E27.5	E27	E20-E35	E00-E90	*
J35.3	J35.3	J35	J30-J39	J00-J99	*
S62.71	S62.7	S62	S60-S69	S00-T98	*
I73	I73	I73	I70-I79	I00-I99	*
S37.71	S37.7	S37	S30-S39	S00-T98	*
X77.63	X77.6	X77	X60-X84	V01-Y98	*
X48.98	X48.9	X48	X40-X49	V01-Y98	*
X16.10	X16.1	X16	X10-X19	V01-Y98	*
W01.00	W01.0	W01	W00-W19	V01-Y98	*
V68.43	V68.4	V68	V60-V69	V01-Y98	*
S90.0	S90.0	S90	S90-S99	S00-T98	*
N05	N05	N05	N00-N08	N00-N99	*
X93	X93	X93	X85-Y09	V01-Y98	*
E61.8	E61.8	E61	E50-E64	E00-E90	*
W65.43	W65.4	W65	W65-W74	V01-Y98	*
X94.00	X94.0	X94	X85-Y09	V01-Y98	*
X23.90	X23.9	X23	X20-X29	V01-Y98	*
F18.02	F18.0	F18	F10-F19	F00-F99	*
X36.83	X36.8	X36	X30-X39	V01-Y98	*
T29.7	T29.7	T29	T29-T32	S00-T98	*
X46.19	X46.1	X46	X40-X49	V01-Y98	*
W92.98	W92.9	W92	W85-W99	V01-Y98	*
V95.29	V95.2	V95	V95-V97	V01-Y98	*
H67	H67	H67	H65-H75	H60-H95	*
X77.1	X77.1	X77	X60-X84	V01-Y98	*
W59.89	W59.8	W59	W50-W64	V01-Y98	*
V55.42	V55.4	V55	V50-V59	V01-Y98	*
W81.8	W81.8	W81	W75-W84	V01-Y98	*
W38.22	W38.2	W38	W20-W49	V01-Y98	*
N04.3	N04.3	N04	N00-N08	N00-N99	*
W50.79	W50.7	W50	W50-W64	V01-Y98	*
X26.00	X26.0	X26	X20-X29	V01-Y98	*
V52.54	V52.5	V52	V50-V59	V01-Y98	*
V39	V39	V39	V30-V39	V01-Y98	*
W79.70	W79.7	W79	W75-W84	V01-Y98	*
W73.34	W73.3	W73	W65-W74	V01-Y98	*
B64	B64	B64	B50-B64	A00-B99	*
Q60	Q60	Q60	Q60-Q64	Q00-Q99	*
W10.00	W10.0	W10	W00-W19	V01-Y98	*
T26.6	T26.6	T26	T26-T28	S00-T98	*
V94.61	V94.6	V94	V90-V94	V01-Y98	*
V50.52	V50.5	V50	V50-V59	V01-Y98	*
X25.21	X25.2	X25	X20-X29	V01-Y98	*
V39.94	V39.9	V39	V30-V39	V01-Y98	*
W01.99	W01.9	W01	W00-W19	V01-Y98	*
X63.99	X63.9	X63	X60-X84	V01-Y98	*
V53.93	V53.9	V53	V50-V59	V01-Y98	*
M80.3	M80.3	M80	M80-M85	M00-M99	*
G56.8	G56.8	G56	G50-G59	G00-G99	*
V78.94	V78.9	V78	V70-V79	V01-Y98	*
X82.91	X82.9	X82	X60-X84	V01-Y98	*
X37.28	X37.2	X37	X30-X39	V01-Y98	*
V85.08	V85.0	V85	V80-V89	V01-Y98	*
V60.4	V60.4	V60	V60-V69	V01-Y98	*
T03.8	T03.8	T03	T00-T07	S00-T98	*
J96.0	J96.0	J96	J95-J99	J00-J99	*
M46.4	M46.4	M46	M45-M49	M00-M99	*
W14.43	W14.4	W14	W00-W19	V01-Y98	*
X78.5	X78.5	X78	X60-X84	V01-Y98	*
X00.02	X00.0	X00	X00-X09	V01-Y98	*
X22.80	X22.8	X22	X20-X29	V01-Y98	*
V96.11	V96.1	V96	V95-V97	V01-Y98	*
Q80.2	Q80.2	Q80	Q80-Q89	Q00-Q99	*
H44.9	H44.9	H44	H43-H45	H00-H59	*
X23.2	X23.2	X23	X20-X29	V01-Y98	*
X87.78	X87.7	X87	X85-Y09	V01-Y98	*
Z11.1	Z11.1	Z11	Z00-Z13	Z00-Z99	*
W16.94	W16.9	W16	W00-W19	V01-Y98	*
B43.9	B43.9	B43	B35-B49	A00-B99	*
W58.71	W58.7	W58	W50-W64	V01-Y98	*
Z63.0	Z63.0	Z63	Z55-Z65	Z00-Z99	*
V20.21	V20.2	V20	V20-V29	V01-Y98	*
X76.63	X76.6	X76	X60-X84	V01-Y98	*
Q22.1	Q22.1	Q22	Q20-Q28	Q00-Q99	*
V62.28	V62.2	V62	V60-V69	V01-Y98	*
Y32.90	Y32.9	Y32	Y10-Y34	V01-Y98	*
Y25.8	Y25.8	Y25	Y10-Y34	V01-Y98	*
V22.3	V22.3	V22	V20-V29	V01-Y98	*
E05.2	E05.2	E05	E00-E07	E00-E90	*
W19.02	W19.0	W19	W00-W19	V01-Y98	*
W57.70	W57.7	W57	W50-W64	V01-Y98	*
W99.4	W99.4	W99	W85-W99	V01-Y98	*
Y28.59	Y28.5	Y28	Y10-Y34	V01-Y98	*
Q16.9	Q16.9	Q16	Q10-Q18	Q00-Q99	*
T25.7	T25.7	T25	T20-T25	S00-T98	*
W38.21	W38.2	W38	W20-W49	V01-Y98	*
X44.90	X44.9	X44	X40-X49	V01-Y98	*
I51.3	I51.3	I51	I30-I52	I00-I99	*
V77.2	V77.2	V77	V70-V79	V01-Y98	*
X71.39	X71.3	X71	X60-X84	V01-Y98	*
W25.84	W25.8	W25	W20-W49	V01-Y98	*
X93.43	X93.4	X93	X85-Y09	V01-Y98	*
Z92.8	Z92.8	Z92	Z80-Z99	Z00-Z99	*
X30.49	X30.4	X30	X30-X39	V01-Y98	*
X43.38	X43.3	X43	X40-X49	V01-Y98	*
F32.1	F32.1	F32	F30-F39	F00-F99	*
T43	T43	T43	T36-T50	S00-T98	*
W81.42	W81.4	W81	W75-W84	V01-Y98	*
W22.5	W22.5	W22	W20-W49	V01-Y98	*
S75.8	S75.8	S75	S70-S79	S00-T98	*
Q62.7	Q62.7	Q62	Q60-Q64	Q00-Q99	*
G24.3	G24.3	G24	G20-G26	G00-G99	*
W06.88	W06.8	W06	W00-W19	V01-Y98	*
A92.0	A92.0	A92	A90-A99	A00-B99	*
Y12.73	Y12.7	Y12	Y10-Y34	V01-Y98	*
X24.44	X24.4	X24	X20-X29	V01-Y98	*
F65.4	F65.4	F65	F60-F69	F00-F99	*
W73.12	W73.1	W73	W65-W74	V01-Y98	*
Z99.1	Z99.1	Z99	Z80-Z99	Z00-Z99	*
X30.14	X30.1	X30	X30-X39	V01-Y98	*
F18.75	F18.7	F18	F10-F19	F00-F99	*
X82.00	X82.0	X82	X60-X84	V01-Y98	*
W31.04	W31.0	W31	W20-W49	V01-Y98	*
X77.94	X77.9	X77	X60-X84	V01-Y98	*
X49.70	X49.7	X49	X40-X49	V01-Y98	*
Y32	Y32	Y32	Y10-Y34	V01-Y98	*
V75.7	V75.7	V75	V70-V79	V01-Y98	*
C57.0	C57.0	C57	C51-C58	C00-D48	*
W40.80	W40.8	W40	W20-W49	V01-Y98	*
W43.0	W43.0	W43	W20-W49	V01-Y98	*
V92.4	V92.4	V92	V90-V94	V01-Y98	*
D41.2	D41.2	D41	D37-D48	C00-D48	*
E64.3	E64.3	E64	E50-E64	E00-E90	*
Y81	Y81	Y81	Y70-Y82	V01-Y98	*
W68.98	W68.9	W68	W65-W74	V01-Y98	*
W69.00	W69.0	W69	W65-W74	V01-Y98	*
Y01.24	Y01.2	Y01	X85-Y09	V01-Y98	*
X93.4	X93.4	X93	X85-Y09	V01-Y98	*
D13.5	D13.5	D13	D10-D36	C00-D48	*
V71.40	V71.4	V71	V70-V79	V01-Y98	*
V31.42	V31.4	V31	V30-V39	V01-Y98	*
I67.2	I67.2	I67	I60-I69	I00-I99	*
E21.2	E21.2	E21	E20-E35	E00-E90	*
W18.79	W18.7	W18	W00-W19	V01-Y98	*
F00-F99	F00-F99	F00-F99	F00-F99	F00-F99	*
Y10.54	Y10.5	Y10	Y10-Y34	V01-Y98	*
M41	M41	M41	M40-M43	M00-M99	*
X81.1	X81.1	X81	X60-X84	V01-Y98	*
X22.32	X22.3	X22	X20-X29	V01-Y98	*
X04.51	X04.5	X04	X00-X09	V01-Y98	*
T82.5	T82.5	T82	T80-T88	S00-T98	*
X79.22	X79.2	X79	X60-X84	V01-Y98	*
X65.5	X65.5	X65	X60-X84	V01-Y98	*
C17.2	C17.2	C17	C15-C26	C00-D48	*
W19.4	W19.4	W19	W00-W19	V01-Y98	*
W53.71	W53.7	W53	W50-W64	V01-Y98	*
Y23.13	Y23.1	Y23	Y10-Y34	V01-Y98	*
X11.42	X11.4	X11	X10-X19	V01-Y98	*
V51.1	V51.1	V51	V50-V59	V01-Y98	*
V60.60	V60.6	V60	V60-V69	V01-Y98	*
T78.4	T78.4	T78	T66-T78	S00-T98	*
X57.70	X57.7	X57	X50-X57	V01-Y98	*
C88	C88	C88	C81-C96	C00-D48	*
K02.0	K02.0	K02	K00-K14	K00-K93	*
V93.38	V93.3	V93	V90-V94	V01-Y98	*
B01.9	B01.9	B01	B00-B09	A00-B99	*
V82.13	V82.1	V82	V80-V89	V01-Y98	*
W76.29	W76.2	W76	W75-W84	V01-Y98	*
S22.10	S22.1	S22	S20-S29	S00-T98	*
W26.13	W26.1	W26	W20-W49	V01-Y98	*
W30.11	W30.1	W30	W20-W49	V01-Y98	*
V69.28	V69.2	V69	V60-V69	V01-Y98	*
V68.42	V68.4	V68	V60-V69	V01-Y98	*
X85.69	X85.6	X85	X85-Y09	V01-Y98	*
W37.79	W37.7	W37	W20-W49	V01-Y98	*
W94.59	W94.5	W94	W85-W99	V01-Y98	*
X25.64	X25.6	X25	X20-X29	V01-Y98	*
H80.1	H80.1	H80	H80-H83	H60-H95	*
V85.28	V85.2	V85	V80-V89	V01-Y98	*
Q27.4	Q27.4	Q27	Q20-Q28	Q00-Q99	*
W04.3	W04.3	W04	W00-W19	V01-Y98	*
X96.19	X96.1	X96	X85-Y09	V01-Y98	*
W33.54	W33.5	W33	W20-W49	V01-Y98	*
E83.3	E83.3	E83	E70-E90	E00-E90	*
H72.2	H72.2	H72	H65-H75	H60-H95	*
K03.2	K03.2	K03	K00-K14	K00-K93	*
V27.33	V27.3	V27	V20-V29	V01-Y98	*
V91.54	V91.5	V91	V90-V94	V01-Y98	*
W35.72	W35.7	W35	W20-W49	V01-Y98	*
W85.39	W85.3	W85	W85-W99	V01-Y98	*
W18.09	W18.0	W18	W00-W19	V01-Y98	*
V32.6	V32.6	V32	V30-V39	V01-Y98	*
V77.64	V77.6	V77	V70-V79	V01-Y98	*
W90.51	W90.5	W90	W85-W99	V01-Y98	*
X54.1	X54.1	X54	X50-X57	V01-Y98	*
E60	E60	E60	E50-E64	E00-E90	*
X11.70	X11.7	X11	X10-X19	V01-Y98	*
X02.84	X02.8	X02	X00-X09	V01-Y98	*
X76	X76	X76	X60-X84	V01-Y98	*
V25.02	V25.0	V25	V20-V29	V01-Y98	*
X63.73	X63.7	X63	X60-X84	V01-Y98	*
G03.9	G03.9	G03	G00-G09	G00-G99	*
I20-I25	I20-I25	I20-I25	I20-I25	I00-I99	*
P59.9	P59.9	P59	P50-P61	P00-P96	*
N40-N51	N40-N51	N40-N51	N40-N51	N00-N99	*
V78.1	V78.1	V78	V70-V79	V01-Y98	*
K29.4	K29.4	K29	K20-K31	K00-K93	*
M21.4	M21.4	M21	M20-M25	M00-M99	*
W50.81	W50.8	W50	W50-W64	V01-Y98	*
W87.13	W87.1	W87	W85-W99	V01-Y98	*
Z09.0	Z09.0	Z09	Z00-Z13	Z00-Z99	*
V21.93	V21.9	V21	V20-V29	V01-Y98	*
V58.14	V58.1	V58	V50-V59	V01-Y98	*
W13.98	W13.9	W13	W00-W19	V01-Y98	*
W10.49	W10.4	W10	W00-W19	V01-Y98	*
A42.1	A42.1	A42	A30-A49	A00-B99	*
W31.30	W31.3	W31	W20-W49	V01-Y98	*
W21.68	W21.6	W21	W20-W49	V01-Y98	*
W75.98	W75.9	W75	W75-W84	V01-Y98	*
W00.32	W00.3	W00	W00-W19	V01-Y98	*
D70-D77	D70-D77	D70-D77	D70-D77	D50-D89	*
V11.52	V11.5	V11	V10-V19	V01-Y98	*
C72.3	C72.3	C72	C69-C72	C00-D48	*
T52.9	T52.9	T52	T51-T65	S00-T98	*
A83.1	A83.1	A83	A80-A89	A00-B99	*
Y03.68	Y03.6	Y03	X85-Y09	V01-Y98	*
D74	D74	D74	D70-D77	D50-D89	*
Y14.00	Y14.0	Y14	Y10-Y34	V01-Y98	*
X43.33	X43.3	X43	X40-X49	V01-Y98	*
X63.3	X63.3	X63	X60-X84	V01-Y98	*
X73.1	X73.1	X73	X60-X84	V01-Y98	*
Z01.5	Z01.5	Z01	Z00-Z13	Z00-Z99	*
S00.5	S00.5	S00	S00-S09	S00-T98	*
X34.00	X34.0	X34	X30-X39	V01-Y98	*
V53.14	V53.1	V53	V50-V59	V01-Y98	*
W76.59	W76.5	W76	W75-W84	V01-Y98	*
N18.8	N18.8	N18	N17-N19	N00-N99	*
X66.81	X66.8	X66	X60-X84	V01-Y98	*
D80-D89	D80-D89	D80-D89	D80-D89	D50-D89	*
V42.10	V42.1	V42	V40-V49	V01-Y98	*
Y01.42	Y01.4	Y01	X85-Y09	V01-Y98	*
V64.51	V64.5	V64	V60-V69	V01-Y98	*
X47.11	X47.1	X47	X40-X49	V01-Y98	*
X80.29	X80.2	X80	X60-X84	V01-Y98	*
V33.50	V33.5	V33	V30-V39	V01-Y98	*
V88.04	V88.0	V88	V80-V89	V01-Y98	*
S23.2	S23.2	S23	S20-S29	S00-T98	*
S32.4	S32.4	S32	S30-S39	S00-T98	*
F18.06	F18.0	F18	F10-F19	F00-F99	*
X38.68	X38.6	X38	X30-X39	V01-Y98	*
M90.2	M90.2	M90	M86-M90	M00-M99	*
W45.84	W45.8	W45	W20-W49	V01-Y98	*
F01.84	F01.8	F01	F00-F09	F00-F99	*
X03.58	X03.5	X03	X00-X09	V01-Y98	*
X54.88	X54.8	X54	X50-X57	V01-Y98	*
W93.83	W93.8	W93	W85-W99	V01-Y98	*
Y26.20	Y26.2	Y26	Y10-Y34	V01-Y98	*
V57.1	V57.1	V57	V50-V59	V01-Y98	*
G45.3	G45.3	G45	G40-G47	G00-G99	*
W07.19	W07.1	W07	W00-W19	V01-Y98	*
X82.54	X82.5	X82	X60-X84	V01-Y98	*
X83.74	X83.7	X83	X60-X84	V01-Y98	*
Y09.79	Y09.7	Y09	X85-Y09	V01-Y98	*
M83.0	M83.0	M83	M80-M85	M00-M99	*
W81.58	W81.5	W81	W75-W84	V01-Y98	*
X15.68	X15.6	X15	X10-X19	V01-Y98	*
V55.61	V55.6	V55	V50-V59	V01-Y98	*
X37.0	X37.0	X37	X30-X39	V01-Y98	*
V89.14	V89.1	V89	V80-V89	V01-Y98	*
W33.3	W33.3	W33	W20-W49	V01-Y98	*
X92.91	X92.9	X92	X85-Y09	V01-Y98	*
W01.52	W01.5	W01	W00-W19	V01-Y98	*
T53.2	T53.2	T53	T51-T65	S00-T98	*
V53.42	V53.4	V53	V50-V59	V01-Y98	*
X12.54	X12.5	X12	X10-X19	V01-Y98	*
R07	R07	R07	R00-R09	R00-R99	*
C81.7	C81.7	C81	C81-C96	C00-D48	*
X99.23	X99.2	X99	X85-Y09	V01-Y98	*
G46.7	G46.7	G46	G40-G47	G00-G99	*
W93.0	W93.0	W93	W85-W99	V01-Y98	*
W30.10	W30.1	W30	W20-W49	V01-Y98	*
X21.3	X21.3	X21	X20-X29	V01-Y98	*
J15.6	J15.6	J15	J09-J18	J00-J99	*
W84.90	W84.9	W84	W75-W84	V01-Y98	*
X36.08	X36.0	X36	X30-X39	V01-Y98	*
X64.64	X64.6	X64	X60-X84	V01-Y98	*
W91.03	W91.0	W91	W85-W99	V01-Y98	*
G61.8	G61.8	G61	G60-G64	G00-G99	*
X04.39	X04.3	X04	X00-X09	V01-Y98	*
V46.41	V46.4	V46	V40-V49	V01-Y98	*
R78.3	R78.3	R78	R70-R79	R00-R99	*
I20	I20	I20	I20-I25	I00-I99	*
X85.73	X85.7	X85	X85-Y09	V01-Y98	*
W31.03	W31.0	W31	W20-W49	V01-Y98	*
V54.9	V54.9	V54	V50-V59	V01-Y98	*
W85.23	W85.2	W85	W85-W99	V01-Y98	*
Y13.92	Y13.9	Y13	Y10-Y34	V01-Y98	*
W20.04	W20.0	W20	W20-W49	V01-Y98	*
X20.61	X20.6	X20	X20-X29	V01-Y98	*
Y27.12	Y27.1	Y27	Y10-Y34	V01-Y98	*
P57	P57	P57	P50-P61	P00-P96	*
B77.0	B77.0	B77	B65-B83	A00-B99	*
X33.68	X33.6	X33	X30-X39	V01-Y98	*
F20.94	F20.9	F20	F20-F29	F00-F99	*
W64.23	W64.2	W64	W50-W64	V01-Y98	*
Q74.2	Q74.2	Q74	Q65-Q79	Q00-Q99	*
W17.24	W17.2	W17	W00-W19	V01-Y98	*
O47.9	O47.9	O47	O30-O48	O00-O99	*
S41	S41	S41	S40-S49	S00-T98	*
W57.23	W57.2	W57	W50-W64	V01-Y98	*
W68.09	W68.0	W68	W65-W74	V01-Y98	*
V50.40	V50.4	V50	V50-V59	V01-Y98	*
Y11.80	Y11.8	Y11	Y10-Y34	V01-Y98	*
Y28.29	Y28.2	Y28	Y10-Y34	V01-Y98	*
V80.52	V80.5	V80	V80-V89	V01-Y98	*
W90.94	W90.9	W90	W85-W99	V01-Y98	*
P03	P03	P03	P00-P04	P00-P96	*
V59.42	V59.4	V59	V50-V59	V01-Y98	*
Q76.4	Q76.4	Q76	Q65-Q79	Q00-Q99	*
V50.33	V50.3	V50	V50-V59	V01-Y98	*
W84.0	W84.0	W84	W75-W84	V01-Y98	*
V85.50	V85.5	V85	V80-V89	V01-Y98	*
V26.31	V26.3	V26	V20-V29	V01-Y98	*
F19.01	F19.0	F19	F10-F19	F00-F99	*
X17.7	X17.7	X17	X10-X19	V01-Y98	*
X44.42	X44.4	X44	X40-X49	V01-Y98	*
X68.92	X68.9	X68	X60-X84	V01-Y98	*
Z01.9	Z01.9	Z01	Z00-Z13	Z00-Z99	*
N32.0	N32.0	N32	N30-N39	N00-N99	*
T00.6	T00.6	T00	T00-T07	S00-T98	*
Y30.63	Y30.6	Y30	Y10-Y34	V01-Y98	*
X46.60	X46.6	X46	X40-X49	V01-Y98	*
W20.90	W20.9	W20	W20-W49	V01-Y98	*
X74.4	X74.4	X74	X60-X84	V01-Y98	*
W52.94	W52.9	W52	W50-W64	V01-Y98	*
X27.11	X27.1	X27	X20-X29	V01-Y98	*
W10.43	W10.4	W10	W00-W19	V01-Y98	*
Y53.3	Y53.3	Y53	Y40-Y59	V01-Y98	*
X27.58	X27.5	X27	X20-X29	V01-Y98	*
V80.79	V80.7	V80	V80-V89	V01-Y98	*
W42.73	W42.7	W42	W20-W49	V01-Y98	*
X05.7	X05.7	X05	X00-X09	V01-Y98	*
V64.04	V64.0	V64	V60-V69	V01-Y98	*
X16.44	X16.4	X16	X10-X19	V01-Y98	*
V33.18	V33.1	V33	V30-V39	V01-Y98	*
W54.82	W54.8	W54	W50-W64	V01-Y98	*
F16.75	F16.7	F16	F10-F19	F00-F99	*
E67.2	E67.2	E67	E65-E68	E00-E90	*
S22.0	S22.0	S22	S20-S29	S00-T98	*
Y00.83	Y00.8	Y00	X85-Y09	V01-Y98	*
W01.22	W01.2	W01	W00-W19	V01-Y98	*
Y21.53	Y21.5	Y21	Y10-Y34	V01-Y98	*
X04.44	X04.4	X04	X00-X09	V01-Y98	*
G90-G99	G90-G99	G90-G99	G90-G99	G00-G99	*
F95.0	F95.0	F95	F90-F98	F00-F99	*
X80.8	X80.8	X80	X60-X84	V01-Y98	*
T94.1	T94.1	T94	T90-T98	S00-T98	*
V15.19	V15.1	V15	V10-V19	V01-Y98	*
V42.09	V42.0	V42	V40-V49	V01-Y98	*
Z11	Z11	Z11	Z00-Z13	Z00-Z99	*
X62.3	X62.3	X62	X60-X84	V01-Y98	*
W93.48	W93.4	W93	W85-W99	V01-Y98	*
Z44.1	Z44.1	Z44	Z40-Z54	Z00-Z99	*
W25.60	W25.6	W25	W20-W49	V01-Y98	*
W37.28	W37.2	W37	W20-W49	V01-Y98	*
Y19.81	Y19.8	Y19	Y10-Y34	V01-Y98	*
H40	H40	H40	H40-H42	H00-H59	*
W78.70	W78.7	W78	W75-W84	V01-Y98	*
W30.41	W30.4	W30	W20-W49	V01-Y98	*
T03.0	T03.0	T03	T00-T07	S00-T98	*
W37.11	W37.1	W37	W20-W49	V01-Y98	*
X46.91	X46.9	X46	X40-X49	V01-Y98	*
W59.98	W59.9	W59	W50-W64	V01-Y98	*
X44.79	X44.7	X44	X40-X49	V01-Y98	*
M92.8	M92.8	M92	M91-M94	M00-M99	*
W40.50	W40.5	W40	W20-W49	V01-Y98	*
A85	A85	A85	A80-A89	A00-B99	*
W43.23	W43.2	W43	W20-W49	V01-Y98	*
A06.7	A06.7	A06	A00-A09	A00-B99	*
W06.98	W06.9	W06	W00-W19	V01-Y98	*
G05.1	G05.1	G05	G00-G09	G00-G99	*
S20.1	S20.1	S20	S20-S29	S00-T98	*
W93.18	W93.1	W93	W85-W99	V01-Y98	*
S12.21	S12.2	S12	S10-S19	S00-T98	*
F16.00	F16.0	F16	F10-F19	F00-F99	*
J90-J94	J90-J94	J90-J94	J90-J94	J00-J99	*
P61.8	P61.8	P61	P50-P61	P00-P96	*
X58.43	X58.4	X58	X58-X59	V01-Y98	*
V68.78	V68.7	V68	V60-V69	V01-Y98	*
V25.33	V25.3	V25	V20-V29	V01-Y98	*
V19.0	V19.0	V19	V10-V19	V01-Y98	*
W86.72	W86.7	W86	W85-W99	V01-Y98	*
W54.78	W54.7	W54	W50-W64	V01-Y98	*
Q27.9	Q27.9	Q27	Q20-Q28	Q00-Q99	*
I60.7	I60.7	I60	I60-I69	I00-I99	*
V04.11	V04.1	V04	V01-V09	V01-Y98	*
W19.92	W19.9	W19	W00-W19	V01-Y98	*
W56.53	W56.5	W56	W50-W64	V01-Y98	*
W01.51	W01.5	W01	W00-W19	V01-Y98	*
V23.92	V23.9	V23	V20-V29	V01-Y98	*
V43.20	V43.2	V43	V40-V49	V01-Y98	*
X24.50	X24.5	X24	X20-X29	V01-Y98	*
X12.4	X12.4	X12	X10-X19	V01-Y98	*
W08.99	W08.9	W08	W00-W19	V01-Y98	*
V11.21	V11.2	V11	V10-V19	V01-Y98	*
T59.6	T59.6	T59	T51-T65	S00-T98	*
X92.39	X92.3	X92	X85-Y09	V01-Y98	*
Y27.94	Y27.9	Y27	Y10-Y34	V01-Y98	*
C96	C96	C96	C81-C96	C00-D48	*
W57.68	W57.6	W57	W50-W64	V01-Y98	*
X00.59	X00.5	X00	X00-X09	V01-Y98	*
D72.1	D72.1	D72	D70-D77	D50-D89	*
W05.92	W05.9	W05	W00-W19	V01-Y98	*
R70.1	R70.1	R70	R70-R79	R00-R99	*
Y18.38	Y18.3	Y18	Y10-Y34	V01-Y98	*
V73.1	V73.1	V73	V70-V79	V01-Y98	*
F06	F06	F06	F00-F09	F00-F99	*
W05.02	W05.0	W05	W00-W19	V01-Y98	*
L27.9	L27.9	L27	L20-L30	L00-L99	*
X72.14	X72.1	X72	X60-X84	V01-Y98	*
V92.31	V92.3	V92	V90-V94	V01-Y98	*
S54	S54	S54	S50-S59	S00-T98	*
X45.52	X45.5	X45	X40-X49	V01-Y98	*
W55.58	W55.5	W55	W50-W64	V01-Y98	*
T26.7	T26.7	T26	T26-T28	S00-T98	*
W15.0	W15.0	W15	W00-W19	V01-Y98	*
Y32.2	Y32.2	Y32	Y10-Y34	V01-Y98	*
W49.6	W49.6	W49	W20-W49	V01-Y98	*
Y32.1	Y32.1	Y32	Y10-Y34	V01-Y98	*
X00.09	X00.0	X00	X00-X09	V01-Y98	*
X82.94	X82.9	X82	X60-X84	V01-Y98	*
X95.2	X95.2	X95	X85-Y09	V01-Y98	*
W29.7	W29.7	W29	W20-W49	V01-Y98	*
Y00.82	Y00.8	Y00	X85-Y09	V01-Y98	*
X84.01	X84.0	X84	X60-X84	V01-Y98	*
Y19.72	Y19.7	Y19	Y10-Y34	V01-Y98	*
X25.28	X25.2	X25	X20-X29	V01-Y98	*
V10.3	V10.3	V10	V10-V19	V01-Y98	*
X35.39	X35.3	X35	X30-X39	V01-Y98	*
N43.3	N43.3	N43	N40-N51	N00-N99	*
I13.1	I13.1	I13	I10-I15	I00-I99	*
V46.28	V46.2	V46	V40-V49	V01-Y98	*
W67.00	W67.0	W67	W65-W74	V01-Y98	*
X51.33	X51.3	X51	X50-X57	V01-Y98	*
Y15.78	Y15.7	Y15	Y10-Y34	V01-Y98	*
N04.1	N04.1	N04	N00-N08	N00-N99	*
X85.00	X85.0	X85	X85-Y09	V01-Y98	*
Q73	Q73	Q73	Q65-Q79	Q00-Q99	*
W84.68	W84.6	W84	W75-W84	V01-Y98	*
X26.63	X26.6	X26	X20-X29	V01-Y98	*
Y16.8	Y16.8	Y16	Y10-Y34	V01-Y98	*
W13.52	W13.5	W13	W00-W19	V01-Y98	*
V40.54	V40.5	V40	V40-V49	V01-Y98	*
S55.8	S55.8	S55	S50-S59	S00-T98	*
S06.10	S06.1	S06	S00-S09	S00-T98	*
C22.7	C22.7	C22	C15-C26	C00-D48	*
Q03.1	Q03.1	Q03	Q00-Q07	Q00-Q99	*
C64-C68	C64-C68	C64-C68	C64-C68	C00-D48	*
Z09.3	Z09.3	Z09	Z00-Z13	Z00-Z99	*
O64.2	O64.2	O64	O60-O75	O00-O99	*
S36.7	S36.7	S36	S30-S39	S00-T98	*
V56.64	V56.6	V56	V50-V59	V01-Y98	*
W36.22	W36.2	W36	W20-W49	V01-Y98	*
X75.83	X75.8	X75	X60-X84	V01-Y98	*
V91.94	V91.9	V91	V90-V94	V01-Y98	*
W85.90	W85.9	W85	W85-W99	V01-Y98	*
D89	D89	D89	D80-D89	D50-D89	*
X57.04	X57.0	X57	X50-X57	V01-Y98	*
S14.1	S14.1	S14	S10-S19	S00-T98	*
X64.73	X64.7	X64	X60-X84	V01-Y98	*
V03.9	V03.9	V03	V01-V09	V01-Y98	*
