L0	L1	L2	L3	L4	L5
W73.91	W73.9	W73	W65-W74	V01-Y98	*
V43.91	V43.9	V43	V40-V49	V01-Y98	*
R85.7	R85.7	R85	R83-R89	R00-R99	*
Y19.43	Y19.4	Y19	Y10-Y34	V01-Y98	*
O10	O10	O10	O10-O16	O00-O99	*
Y32.18	Y32.1	Y32	Y10-Y34	V01-Y98	*
R55	R55	R55	R50-R69	R00-R99	*
X94.2	X94.2	X94	X85-Y09	V01-Y98	*
X76.43	X76.4	X76	X60-X84	V01-Y98	*
X68.03	X68.0	X68	X60-X84	V01-Y98	*
X13.3	X13.3	X13	X10-X19	V01-Y98	*
X81.99	X81.9	X81	X60-X84	V01-Y98	*
F20.51	F20.5	F20	F20-F29	F00-F99	*
Y33.33	Y33.3	Y33	Y10-Y34	V01-Y98	*
V47.70	V47.7	V47	V40-V49	V01-Y98	*
O14.1	O14.1	O14	O10-O16	O00-O99	*
V72.74	V72.7	V72	V70-V79	V01-Y98	*
N34.3	N34.3	N34	N30-N39	N00-N99	*
V02.93	V02.9	V02	V01-V09	V01-Y98	*
V35.4	V35.4	V35	V30-V39	V01-Y98	*
V13.4	V13.4	V13	V10-V19	V01-Y98	*
J69	J69	J69	J60-J70	J00-J99	*
S22.40	S22.4	S22	S20-S29	S00-T98	*
S74.7	S74.7	S74	S70-S79	S00-T98	*
W69.54	W69.5	W69	W65-W74	V01-Y98	*
F16.22	F16.2	F16	F10-F19	F00-F99	*
S42	S42	S42	S40-S49	S00-T98	*
V92.94	V92.9	V92	V90-V94	V01-Y98	*
V51.13	V51.1	V51	V50-V59	V01-Y98	*
V91.64	V91.6	V91	V90-V94	V01-Y98	*
Q64.0	Q64.0	Q64	Q60-Q64	Q00-Q99	*
Y54.8	Y54.8	Y54	Y40-Y59	V01-Y98	*
Y02.3	Y02.3	Y02	X85-Y09	V01-Y98	*
Q41	Q41	Q41	Q38-Q45	Q00-Q99	*
V66.99	V66.9	V66	V60-V69	V01-Y98	*
K31.4	K31.4	K31	K20-K31	K00-K93	*
X80.44	X80.4	X80	X60-X84	V01-Y98	*
C67.5	C67.5	C67	C64-C68	C00-D48	*
W49.62	W49.6	W49	W20-W49	V01-Y98	*
W77.61	W77.6	W77	W75-W84	V01-Y98	*
A87	A87	A87	A80-A89	A00-B99	*
K00.4	K00.4	K00	K00-K14	K00-K93	*
W32.7	W32.7	W32	W20-W49	V01-Y98	*
D28.9	D28.9	D28	D10-D36	C00-D48	*
C76.8	C76.8	C76	C76-C80	C00-D48	*
W16.23	W16.2	W16	W00-W19	V01-Y98	*
E72.0	E72.0	E72	E70-E90	E00-E90	*
X65.53	X65.5	X65	X60-X84	V01-Y98	*
G04	G04	G04	G00-G09	G00-G99	*
Y26.52	Y26.5	Y26	Y10-Y34	V01-Y98	*
R20-R23	R20-R23	R20-R23	R20-R23	R00-R99	*
N39.0	N39.0	N39	N30-N39	N00-N99	*
